brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-green-cold-shoulder-striped-straight-kurta/2111512/buy,Striped Straight Kurta,604,1099,"Green and off-white printed straight kurta, has a round neck, cold-shoulder three-quarter sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-printed-straight-kurta/2095543/buy,Printed Straight Kurta,728,899,"Navy blue solid straight kurta, has a mandarin collar, three-quarter sleeve, side slits",Rayon  Machine-wash
AKS,kurtas/aks/aks-women-blue-printed-a-line-kurta/2262305/buy,Printed A-Line Kurta,662,1299,"Blue printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--red-printed-a-line-kurta/2250034/buy,Printed A-Line Kurta,749,1499,"Navy blue, red and off-white printed A-line kurta, has a round neck with button closures, short sleeves, flared hem, front slit",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--rust-red-printed-anarkali-kurta/2262267/buy,Printed Anarkali Kurta,854,1899,"Navy and rust red printed Anarkali kurta, has a round neck, short sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-blue--pink-floral-print-anarkali-kurta/2095562/buy,Printed Anarkali Kurta,849,1699,"Blue and pink printed Anarkali kurta, has a mandarin collar with a short button placket, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-green--orange-printed-cold-shoulder-straight-kurta/2111375/buy,Printed Straight Kurta,604,1099,"Green and orange printed straight kurta, has a round neck with tie-up detail, short sleeves, straight hem, side slits",Rayon Machine-wash
AKS,kurtas/aks/aks-women-black--yellow-striped-detail-a-line-kurta/2448925/buy,Striped Detail A-Line Kurta,909,1299,"Black and yellow striped detail panelled A-line kurta with mirror-work and patch-work with tassel detail, has a round neck, short sleeves, and a flared hem",CottonMachine-wash cold
AKS,kurtas/aks/aks-women-grey--off-white-printed-straight-kurta/2111367/buy,Printed Straight Kurta,649,1299,"Grey and off-white printed straight kurta, has a round neck, sleeveless, a full mock placket detail with button-and-loop closures, a straight hem, and multiple slits",Cotton Machine-wash cold
AKS,kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2493380/buy,Printed Straight Kurta,824,1099,"Navy, off-white and red printed straight kurta, has a round neck, short sleeves, curved hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-red--beige-printed-anarkali-kurta/2111398/buy,Printed Anarkali Kurta,809,1799,"Red and beige printed Anarkali kurta, has a round neck, three-quarter sleeves, curved hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-coral-pink-embellished-anarkali-kurta/2111403/buy,Embellished Anarkali Kurta,1099,2199,"Coral pink embellished Anarkali kurta, has a round neck, short sleeves, flared hem",ViscoseDry-clean
AKS,kurtas/aks/aks-women-blue--white-printed-straight-kurta/2493426/buy,Printed Straight Kurta,824,1099,"Blue and white printed straight kurta, has a stylised V-neck, sleeveless, straight hem, side slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-cream-coloured--blue-printed-anarkali-kurta/2024442/buy,Printed Anarkali Kurta,854,1899,"Cream-coloured and blue printed Anarkali kurta, has a V-neck, short sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-grey-printed-straight-kurta/2094956/buy,Printed Straight Kurta,699,999,"Grey printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-yellow--black-colourblocked-layered-a-line-kurta/2448894/buy,Colourblocked A-Line Kurta,560,1099,"Yellow and black colourblocked A-line kurta, has a round neck, long sleeves, straight hem, no slits",Crepe  Machine-wash
AKS,kurtas/aks/aks-women-mustard-yellow--blue-printed-straight-kurta/2448945/buy,Printed Straight Kurta,599,999,"Mustard yellow and blue printed straight kurta, has a tie-up neckline, three-quarter bell sleeves, a straight hem, and side slits",CottonMachine-wash cold
AKS,kurtas/aks/aks-women-burgundy-floral-print-anarkali-kurta/2082410/buy,Floral Print Anarkali Kurta,749,1499,"Burgundy floral print Anarkali kurta with empire-line detail, has a round neck, short sleeve, flared hem",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-embroidered-anarkali-kurta/2024408/buy,Embroidered Anarkali Kurta,849,1699,"Navy embroidered Anarkali kurta with mirror-work detail, has a round neck, sleeveless, and a flared hem",Cotton Machine-wash cold
AKS,kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1945077/buy,Printed Anarkali Kurta,809,1799,"Blue and white printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-mustard-yellow-printed-angrakha-kurta/2111535/buy,Printed Angrakha Kurta,699,999,"Mustard yellow printed Angrakha kurta, has a V-neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-olive-green--white-printed-straight-kurta/2250072/buy,Printed Straight Kurta,659,1199,"Olive Green and white printed straight kurta, has a mandarin collar, short sleeves, straight hem, side slits",Viscose Rayon  Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--white-printed-a-line-kurta/2463704/buy,Printed A-Line Kurta,909,1299,"Navy and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-blue-printed-anarkali-kurta/2082351/buy,Printed Anarkali Kurta,809,1799,"Navy Blue printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--cream-coloured-khari-print-straight-kurta/2249967/buy,Khari Print Straight Kurta,799,1599,"Navy blue and cream-coloured khari print straight kurta, has a mandarin collar, button placket, short sleeves, straight hem and multiple slits",CottonDry-clean
AKS,kurtas/aks/aks-women-white-yoke-design-straight-kurta/2448938/buy,Yoke Design Straight Kurta,1039,1599,"White and blue yoke design straight kurta with handblock print detail, has a round neck, three-quarter sleeves, straight hem, side slits",Cotton  Dry-clean
AKS,kurtas/aks/aks-women-pink-printed-anarkali-kurta/2095038/buy,Anarkali Kurta,815,1599,"Pink printed Anarkali kurta, has a V-neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-blue--off-white-printed-a-line-kurta/2024411/buy,Printed A-Line Kurta,854,1899,"Blue and off-white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-grey--off-white-printed-a-line-kurta/2249974/buy,Printed A-Line Kurta,649,1299,"Grey and off-white printed A-line kurta, has a shirt collar, short sleeves, flared hem, front slit",Cotton  Machine-wash
